gisco_id,name,registered,turnout,invalid,blank,EXG,FG,PRG,LÉ,ECO,LR,DVD,RN,PS,PRV,DVG,MoDem,EXD,NC (2007),AC,DIV,REG
FR_76265,Flamets-Frétils,151,87,1,0,0,1,0,1,0,35,2,19,26,0,0,2,0,0,0,0,0
FR_76266,Flocques,522,336,3,0,4,112,0,5,0,73,0,38,97,0,0,4,0,0,0,0,0
FR_76267,La Folletière,66,40,0,0,0,0,0,2,0,21,0,8,8,0,0,0,0,1,0,0,0
FR_76268,Fongueusemare,147,106,0,0,1,2,0,3,0,45,0,17,37,0,0,1,0,0,0,0,0
FR_76269,Fontaine-en-Bray,139,99,1,0,0,3,0,6,0,42,0,12,35,0,0,0,0,0,0,0,0
FR_76270,Fontaine-la-Mallet,2290,1440,13,0,6,66,0,21,0,663,0,172,446,0,48,0,0,0,0,5,0
FR_76271,Fontaine-le-Bourg,1051,632,5,0,12,38,0,24,0,229,0,111,213,0,0,0,0,0,0,0,0
FR_76272,Fontaine-le-Dun,672,429,4,0,3,19,0,2,0,111,0,27,263,0,0,0,0,0,0,0,0
FR_76273,Fontaine-sous-Préaux,428,283,6,0,3,19,1,112,0,94,2,37,0,0,0,9,0,0,0,0,0
FR_76274,La Fontelaye,38,24,3,0,0,1,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0
FR_76275,Fontenay,892,560,8,0,4,33,0,18,0,231,0,67,185,0,12,0,0,0,0,2,0
FR_76276,Forges-les-Eaux,2765,1688,24,0,10,77,0,34,0,945,9,171,405,0,0,13,0,0,0,0,0
FR_76277,Le Fossé,362,244,11,0,1,12,0,7,0,112,2,44,51,0,0,4,0,0,0,0,0
FR_76278,Foucarmont,622,353,8,0,0,19,0,4,0,108,1,29,154,0,0,30,0,0,0,0,0
FR_76279,Foucart,272,161,9,0,7,4,0,6,0,61,0,28,42,0,0,4,0,0,0,0,0
FR_76280,Fréauville,115,81,0,0,0,2,0,2,0,35,1,15,24,0,0,2,0,0,0,0,0
FR_76281,La Frénaye,1583,858,17,0,10,51,0,20,0,195,7,138,363,0,10,0,0,47,0,0,0
FR_76282,Freneuse,742,501,13,0,10,58,0,12,0,0,0,92,207,0,0,0,0,109,0,0,0
FR_76283,Fresles,162,104,2,0,2,9,0,0,0,49,0,13,24,0,0,5,0,0,0,0,0
FR_76284,Fresnay-le-Long,255,177,1,0,2,13,0,7,0,75,0,40,39,0,0,0,0,0,0,0,0
FR_76285,Fresne-le-Plan,456,267,3,0,0,15,1,83,0,98,3,57,0,0,0,7,0,0,0,0,0
FR_76286,Fresnoy-Folny,528,346,8,0,3,24,0,1,0,106,3,79,110,0,0,12,0,0,0,0,0
FR_76287,Fresquiennes,844,547,7,0,5,30,0,10,0,125,9,118,237,0,2,0,0,4,0,0,0
FR_76288,Freulleville,285,174,1,0,0,27,0,9,0,42,1,36,58,0,0,0,0,0,0,0,0
FR_76289,Fréville,652,408,2,0,3,18,0,6,0,77,1,89,210,0,0,0,0,2,0,0,0
FR_76290,Frichemesnil,344,226,2,0,0,19,0,5,0,81,0,33,86,0,0,0,0,0,0,0,0
FR_76291,Froberville,798,444,3,0,4,21,0,12,0,158,0,74,166,0,0,6,0,0,0,0,0
FR_76292,Fry,127,81,2,0,1,3,2,22,0,31,2,13,0,0,0,5,0,0,0,0,0
