gisco_id,name,registered,turnout,invalid,blank,PPD/PSD.CDS-PP,PS,B.E.,PDA,PCP-PEV,PCTP/MRPP,MD,POUS,PND,PPM,P.N.R.,MPT,P.H.
PT_050517,Zebreira,1029,393,12,4,87,259,1,0,16,9,0,1,0,2,0,2,0
PT_050601,Álvaro,344,129,4,2,104,12,1,2,2,0,1,0,0,0,0,0,1
PT_050602,Amieira,221,121,0,0,108,11,2,0,0,0,0,0,0,0,0,0,0
PT_050603,Cambas,487,121,3,4,70,35,0,0,1,1,2,0,1,1,1,0,2
PT_050604,Estreito,1138,453,8,23,259,143,7,1,2,1,1,0,1,4,1,1,1
PT_050605,Isna,310,186,2,6,133,32,2,0,2,0,1,1,3,2,0,0,2
PT_050606,Madeirã,230,77,0,2,40,31,1,1,2,0,0,0,0,0,0,0,0
PT_050607,Mosteiro,437,185,9,6,118,44,2,0,1,2,0,0,0,2,0,0,1
PT_050608,Oleiros,2189,880,45,61,472,164,10,2,11,85,3,1,13,1,7,2,3
PT_050609,Orvalho,902,278,6,5,79,171,4,1,2,4,1,0,4,1,0,0,0
PT_050610,Sarnadas De São Simão,363,126,0,5,85,28,1,0,0,0,0,0,2,1,0,0,4
PT_050611,Sobral,279,140,5,3,104,20,1,0,3,0,1,0,1,0,0,0,2
