gisco_id,name,registered,turnout,invalid,blank,ФСБСБ,ДНБ,КзБ,Гранит,КнЕ,НДСВ,КДБ,ДСБ,НКДЖБ,Евророма,КнР,БНС,НВ,Атака,ФАГО,ОППБ,ДПС,БХК,ОДС,НЗПНП,ПСД,РК,Петко Илиев Пенев,Радослав Николов Коев,Неделчо Михайлов Димов,Стефчо Иванов Събчев,Илия Замфиров Илиев - Независим,Любомир Христов Василев,Ивайло Манчев Петров,Жоро Петров Ничев,Георги Николаев Мумджиев,Веселина Минчева Бозукова,Асен Фиданов Чаушев,Илия Кирилов Велчев - Независим,Юлий Григоров Абаджиев - Независим
BG_LOV3887014,Ябланица,5101,3153,137,0,9,8,1048,5,4,651,12,140,5,270,36,164,70,232,4,10,139,25,169,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_MON0203928,Берковица,18268,8550,270,0,28,40,3478,11,14,1792,28,286,27,99,392,548,202,528,97,44,114,46,456,4,2,2,0,0,0,0,42,0,0,0,0,0,0,0,0
BG_MON0405236,Бойчиновци,9085,4898,178,0,31,19,2585,8,7,796,8,106,22,86,36,329,45,116,44,17,218,12,221,0,2,3,0,0,0,0,9,0,0,0,0,0,0,0,0
BG_MON0706570,Брусарци,5064,2895,115,0,6,13,1486,3,3,406,8,33,5,82,14,93,19,46,154,17,277,9,85,2,1,1,0,0,0,0,17,0,0,0,0,0,0,0,0
BG_MON1112543,Вълчедръм,9790,5471,248,0,12,22,2440,12,11,727,7,140,31,102,27,122,61,144,129,24,188,5,1000,5,4,1,0,0,0,0,9,0,0,0,0,0,0,0,0
BG_MON1212961,Вършец,7559,3950,146,0,10,9,1762,8,5,597,4,147,7,55,73,188,98,247,150,19,56,17,334,0,4,1,0,0,0,0,13,0,0,0,0,0,0,0,0
BG_MON1414773,Георги Дамяново,2915,1892,67,0,17,11,787,2,6,280,3,38,6,14,76,27,20,50,94,8,26,0,233,1,1,1,0,0,0,0,124,0,0,0,0,0,0,0,0
BG_MON2444238,Лом,29107,14975,471,0,37,28,5283,29,10,3694,28,555,42,110,116,384,206,1181,165,69,1701,123,701,2,17,2,0,0,0,0,21,0,0,0,0,0,0,0,0
BG_MON2647593,Медковец,4262,2497,107,0,9,6,1313,5,6,468,3,83,5,88,31,72,31,27,22,16,76,11,114,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
BG_MON2948489,Монтана,52805,26313,671,0,188,67,9545,34,30,6221,30,928,83,304,342,1144,626,1865,384,94,253,168,3049,14,10,13,0,0,0,0,250,0,0,0,0,0,0,0,0
BG_MON3681390,Чипровци,4297,2440,129,0,47,5,826,3,6,375,3,81,17,9,95,145,119,171,81,10,46,11,214,1,1,0,0,0,0,0,45,0,0,0,0,0,0,0,0
BG_MON3887299,Якимово,4229,2599,107,0,9,7,1321,5,4,468,6,64,8,59,140,86,17,43,38,3,92,10,107,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
BG_PAZ0302837,Батак,5918,4136,108,0,7,6,992,4,4,414,9,113,15,19,12,171,95,247,3,16,1755,3,136,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_PAZ0403592,Белово,9167,4566,204,0,24,7,1716,13,7,1005,15,347,18,42,30,281,155,331,8,21,57,34,246,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_PAZ0606207,Брацигово,8985,4960,155,0,10,13,1878,13,2,876,9,128,10,86,33,270,90,407,51,26,24,99,771,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
