gisco_id,name,registered,turnout,invalid,blank,SKE,Kesk.,FP,Kok,KD,SDP,LPVV,PP,SKP,Korj,PS,Vas,EjOP,STL,VIHR,SFP,Lokka
FI_408,Lapua / Lappo,11292,4251,11,0,4,1189,2,921,485,423,3,8,24,6,887,73,4,41,139,27,4
FI_421,Lestijärvi,686,276,2,0,1,132,0,14,20,17,0,0,0,0,49,27,0,6,6,2,0
FI_440,Luoto / Larsmo,3764,2046,14,0,1,22,0,36,782,128,1,1,5,2,59,15,1,2,43,934,0
FI_475,Maalahti / Malax,4978,2382,11,0,2,24,0,21,35,156,3,2,1,1,54,17,1,3,30,2018,3
FI_499,Mustasaari / Korsholm,16047,7710,31,0,5,117,8,237,247,874,7,12,10,4,432,107,6,18,234,5355,6
FI_545,Närpiö / Närpes,8694,3921,26,0,4,12,1,13,71,84,1,3,4,2,80,20,1,13,35,3551,0
FI_599,Pedersören kunta,8514,4833,18,0,1,38,1,36,778,175,1,6,4,4,100,43,3,13,136,3475,1
FI_584,Perho,2083,671,2,0,1,399,1,42,24,69,1,2,4,2,76,24,0,7,15,2,0
FI_598,Pietarsaari / Jakobstad,16856,6938,27,0,5,224,9,207,576,969,11,11,7,10,494,343,5,29,454,3539,18
FI_743,Seinäjoki,50629,18906,63,0,19,4115,43,4107,1804,2712,15,83,217,53,3338,468,22,137,1520,147,43
FI_759,Soini,1817,618,2,0,0,265,0,40,94,32,0,1,3,0,144,11,1,7,13,1,4
FI_846,Teuva / Östermark,4481,1614,6,0,1,564,1,342,126,128,0,2,10,4,274,81,2,20,29,23,1
FI_849,Toholampi,2733,1007,8,0,0,566,1,56,43,67,0,0,0,9,168,21,2,19,43,4,0
FI_893,Uusikaarlepyy / Nykarleby,6475,3195,15,0,1,23,1,25,124,145,2,3,4,0,89,39,1,3,77,2641,2
