gisco_id,name,registered,turnout,invalid,blank,ÖVP,SPÖ,FPÖ,GRÜNE,BZÖ,NEOS,REKOS,ANDERS,EUSTOP
AT_20299,Briefwahlkarten - Villach(Stadt),0,1593,15,0,253,522,215,300,21,186,9,29,43
AT_20302,Dellach,1032,410,17,0,150,111,47,36,5,16,10,3,15
AT_20305,Hermagor-Pressegger See,5707,2322,101,0,606,719,441,222,22,131,14,18,48
AT_20306,Kirchbach,2183,864,33,0,300,223,151,60,15,47,10,6,19
AT_20307,Kötschach-Mauthen,2818,1074,43,0,362,271,168,102,15,61,14,6,32
AT_20316,Sankt Stefan im Gailtal,1360,568,21,0,130,231,93,39,3,17,2,3,29
AT_20320,Gitschtal,1020,472,13,0,116,137,139,26,3,17,4,3,14
AT_20321,Lesachtal,1146,554,26,0,296,126,35,25,4,17,17,3,5
AT_20399,Briefwahlkarten - Hermagor,0,742,13,0,164,264,86,110,10,68,3,10,14
AT_20402,Ebenthal in Kärnten,6251,2070,62,0,245,812,448,208,32,94,16,33,120
AT_20403,Feistritz im Rosental,2005,780,27,0,133,354,81,88,10,48,7,6,26
AT_20405,Ferlach,5810,2344,107,0,303,963,417,213,48,115,32,41,105
AT_20409,Grafenstein,2352,696,21,0,227,178,114,59,26,27,8,12,24
AT_20412,Keutschach am See,2023,767,20,0,139,236,121,130,25,41,8,10,37
AT_20414,Köttmannsdorf,2313,934,33,0,214,294,167,123,10,45,6,16,26
AT_20415,Krumpendorf am Wörther See,2692,999,21,0,236,222,169,209,13,90,10,13,16
AT_20416,Ludmannsdorf,1500,549,9,0,98,205,81,93,7,34,1,4,17
AT_20417,Maria Rain,1908,662,28,0,137,165,131,106,6,41,4,7,37
AT_20418,Maria Saal,3172,1244,32,0,283,313,220,231,15,77,12,16,45
AT_20419,Maria Wörth,1239,375,4,0,93,83,62,67,4,41,1,5,15
AT_20421,Moosburg,3751,1316,52,0,298,358,238,191,14,93,13,14,45
AT_20424,Pörtschach am Wörther See,2120,747,16,0,232,150,124,96,11,84,9,6,19
AT_20425,Poggersdorf,2512,945,59,0,180,302,174,79,16,53,12,11,59
AT_20428,Sankt Margareten im Rosental,883,273,5,0,72,98,40,23,11,12,2,2,8
AT_20432,Schiefling am Wörthersee,1972,625,19,0,115,176,131,85,8,49,3,11,28
AT_20435,Techelsberg am Wörther See,1777,496,12,0,107,167,109,57,5,16,5,2,16
AT_20441,Zell,518,242,5,0,27,121,14,26,2,37,3,2,5
AT_20442,Magdalensberg,2685,992,48,0,186,307,206,102,17,56,13,14,43
AT_20499,Briefwahlkarten - Klagenfurt Land,0,2215,33,0,482,641,296,364,33,231,23,37,75
AT_20501,Althofen,3884,1341,48,0,221,484,300,137,17,60,16,19,39
AT_20502,Brückl,2343,811,43,0,131,322,165,61,15,39,7,4,24
AT_20503,Deutsch-Griffen,797,218,7,0,55,53,71,8,3,10,0,1,10
AT_20504,Eberstein,1122,350,14,0,85,84,91,20,22,9,4,5,16
AT_20505,Friesach,4284,1268,44,0,267,358,331,100,38,42,13,14,61
AT_20506,Glödnitz,702,255,13,0,73,65,67,11,2,13,4,2,5
AT_20508,Gurk,1060,443,8,0,146,102,136,25,3,13,0,1,9
AT_20509,Guttaring,1225,450,7,0,109,141,89,48,5,26,2,1,22
AT_20511,Hüttenberg,1320,505,15,0,68,213,139,20,12,15,4,7,12
AT_20512,Kappel am Krappfeld,1599,635,22,0,213,165,131,56,5,20,5,6,12
AT_20513,Klein Sankt Paul,1614,582,13,0,158,164,129,35,17,31,13,2,20
AT_20515,Liebenfels,2648,891,31,0,188,275,188,103,17,38,4,11,36
AT_20518,Metnitz,1741,731,25,0,242,142,195,35,7,30,13,11,31
