gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,SD,FI,PP,OVR
SE_1481,Mölndal,46964,26442,263,0,3557,1265,3458,1643,5329,1539,4745,2296,1419,774,154
SE_1421,Orust,12266,6123,113,0,753,604,650,334,1418,383,770,702,263,94,39
SE_1402,Partille,27098,15166,159,0,2327,639,1976,966,3027,923,2559,1405,761,343,81
SE_1495,Skara,14379,7447,80,0,921,1048,481,389,1968,387,875,906,239,108,45
SE_1496,Skövde,41375,21551,333,0,2796,1972,1906,1490,5625,912,2819,2126,763,692,117
SE_1427,Sotenäs,7453,3628,48,0,586,223,401,322,944,149,363,419,107,54,12
SE_1415,Stenungsund,18948,9836,124,0,1507,646,1086,516,2419,501,1394,989,400,208,46
SE_1486,Strömstad,8653,3653,31,0,363,437,433,163,818,221,566,401,142,53,25
SE_1465,Svenljunga,8014,3545,57,0,469,445,281,234,908,153,303,528,97,44,26
SE_1435,Tanum,9831,4641,63,0,679,648,472,247,878,207,634,490,217,73,33
SE_1472,Tibro,8324,4119,52,0,365,424,279,415,1337,177,362,531,99,60,18
SE_1498,Tidaholm,9932,5008,73,0,392,486,281,304,1863,323,503,608,103,54,18
SE_1419,Tjörn,12159,6314,65,0,889,343,869,761,1276,219,873,696,222,67,34
SE_1452,Tranemo,8834,4374,86,0,524,668,271,273,1207,167,465,497,123,71,22
SE_1488,Trollhättan,42585,20767,320,0,2068,1047,1514,1058,7138,1308,2705,2184,910,391,124
SE_1473,Töreboda,7090,3124,54,0,353,502,196,185,848,203,243,387,85,47,21
SE_1485,Uddevalla,41012,20367,261,0,2052,1165,1600,1531,5788,1327,2675,2633,849,353,133
SE_1491,Ulricehamn,17982,9117,113,0,1121,1191,885,863,2046,455,1101,989,222,102,29
SE_1470,Vara,12259,5960,92,0,998,1028,382,328,1397,255,457,749,145,90,39
SE_1442,Vårgårda,8432,4390,40,0,388,586,324,689,897,187,522,526,140,80,11
SE_1487,Vänersborg,28980,14297,242,0,1411,1126,1077,1080,3733,1122,1834,1793,550,242,87
SE_1492,Åmål,9662,4154,52,0,353,373,344,240,1188,287,508,560,154,62,33
SE_1407,Öckerö,9823,5301,45,0,741,128,579,1102,1086,214,643,452,198,90,23
SE_1882,Askersund,8963,4090,48,0,468,366,274,289,1290,257,441,475,111,43,28
SE_1862,Degerfors,7516,3321,41,0,155,158,137,151,1412,396,327,365,99,56,24
SE_1861,Hallsberg,11789,5842,75,0,464,459,352,377,2131,400,595,688,166,84,51
SE_1863,Hällefors,5492,2058,26,0,164,116,119,69,768,183,179,297,73,32,32
SE_1883,Karlskoga,23437,10261,122,0,1097,389,767,562,3746,658,1219,1118,298,193,92
SE_1881,Kumla,15648,7314,104,0,720,486,622,591,2329,394,835,809,238,147,39
SE_1860,Laxå,4477,1815,24,0,144,101,134,187,654,150,142,206,44,16,13
SE_1814,Lekeberg,5645,2786,43,0,244,391,166,282,664,129,312,409,88,35,23
SE_1885,Lindesberg,17845,8256,125,0,796,682,476,460,2548,433,930,1342,253,142,69
SE_1864,Ljusnarsberg,3819,1659,23,0,141,104,111,61,588,127,126,321,31,12,14
SE_1884,Nora,8175,3970,69,0,359,301,299,211,1256,268,518,443,148,58,40
SE_1880,Örebro,107825,58809,727,0,6643,3089,5140,4496,15662,3440,10123,4698,3152,1242,397
SE_0560,Boxholm,4169,1873,30,0,129,168,106,122,743,98,183,205,48,31,10
SE_0562,Finspång,16428,7786,104,0,669,467,425,540,2945,499,907,837,228,110,55
SE_0513,Kinda,7667,3602,29,0,343,426,282,317,881,190,390,505,148,59,32
SE_0580,Linköping,115937,64515,723,0,8756,4244,7193,4612,13862,2822,11070,5071,3085,2609,468
SE_0586,Mjölby,20626,9261,102,0,1054,773,853,602,2749,502,1085,1010,294,188,49
SE_0583,Motala,32970,14358,199,0,1592,867,1296,811,4557,805,1684,1738,482,246,81
SE_0581,Norrköping,102220,47843,463,0,6138,2490,3913,3096,12270,2713,7079,5706,2326,1178,471
SE_0582,Söderköping,11226,5402,59,0,760,589,456,427,1174,249,714,691,159,87,37
SE_0584,Vadstena,6082,3095,33,0,517,225,304,244,724,147,434,285,131,39,12
SE_0563,Valdemarsvik,6236,2706,37,0,303,337,180,170,830,114,231,395,65,31,13
SE_0512,Ydre,2885,1657,35,0,154,291,108,237,350,69,163,185,41,15,9
SE_0561,Åtvidaberg,9125,4187,52,0,431,360,275,287,1425,195,469,479,127,62,25
SE_0509,Ödeshög,4074,1971,26,0,221,195,144,320,423,86,203,246,76,17,14
