gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,JL,SD,PP,FI,ÖVR
SE_1481,Mölndal,45352,22703,411,0,4487,772,3632,1020,4521,1066,2903,625,761,1948,536,21
SE_1421,Orust,12271,5555,154,0,976,455,795,197,1252,291,606,259,172,301,96,1
SE_1402,Partille,25106,12211,179,0,2487,341,1915,738,2563,596,1365,344,384,1003,281,15
SE_1427,Sotenäs,7468,3176,32,0,714,159,522,172,774,149,231,133,83,172,30,5
SE_1415,Stenungsund,17766,8023,157,0,1638,374,1130,356,2006,358,813,342,195,544,106,4
SE_1486,Strömstad,8319,2807,62,0,453,236,444,101,634,188,324,103,50,176,34,2
SE_1435,Tanum,9673,3713,107,0,772,477,516,130,590,155,412,194,75,202,81,2
SE_1419,Tjörn,11852,5466,117,0,1128,234,886,530,1105,158,573,184,146,342,58,5
SE_1485,Uddevalla,39589,17658,355,0,2644,798,2159,956,4841,984,1771,728,694,1132,535,61
SE_1407,Öckerö,9381,4558,89,0,885,73,667,664,1036,123,360,185,92,311,68,5
SE_1445,Essunga,4379,1983,43,0,401,313,195,124,479,71,121,78,54,83,20,1
SE_1499,Falköping,24286,10505,205,0,1603,1281,1050,820,2661,523,875,402,419,594,70,2
SE_1444,Grästorp,4525,1839,36,0,395,320,167,85,438,81,112,51,42,98,14,0
SE_1447,Gullspång,4208,1855,33,0,223,155,166,92,670,91,104,121,74,109,16,1
SE_1471,Götene,10026,4805,91,0,685,502,486,438,1339,271,433,149,128,243,37,3
SE_1497,Hjo,6968,3437,59,0,640,276,418,273,913,147,302,84,91,183,47,4
SE_1446,Karlsborg,5477,2297,51,0,348,245,274,149,648,75,162,105,82,129,28,1
SE_1494,Lidköping,29655,14146,262,0,2287,1109,1459,971,4167,845,1361,409,343,797,108,28
SE_1493,Mariestad,18743,8584,161,0,1348,533,1016,449,2586,484,818,328,293,486,82,0
SE_1495,Skara,14358,6545,121,0,1130,699,704,337,1736,307,644,191,201,361,106,8
SE_1496,Skövde,39503,18589,398,0,3171,1518,2372,999,4821,806,1566,521,678,1466,269,4
SE_1472,Tibro,8213,3484,59,0,430,305,418,326,1102,143,248,115,114,191,30,3
SE_1498,Tidaholm,9870,4452,86,0,476,348,364,239,1777,237,324,159,155,258,29,0
SE_1473,Töreboda,7222,2861,47,0,412,390,280,133,824,151,195,127,110,156,35,1
SE_1470,Vara,12400,5360,126,0,1017,842,542,290,1295,243,337,164,124,330,46,4
SE_1882,Askersund,9156,3741,81,0,518,300,380,255,1116,212,295,151,160,217,56,0
SE_1862,Degerfors,7705,3299,60,0,228,123,207,102,1501,452,196,111,104,182,28,5
SE_1861,Hallsberg,11707,5540,133,0,581,319,425,302,2033,384,440,217,299,332,75,0
SE_1863,Hällefors,5725,2076,49,0,170,81,175,38,853,213,131,100,100,137,29,0
SE_1883,Karlskoga,23550,9721,157,0,1377,268,1057,359,3682,604,681,386,395,665,78,12
SE_1881,Kumla,15060,6739,174,0,764,344,629,526,2268,372,509,231,304,507,111,0
SE_1860,Laxå,4690,1777,40,0,170,87,163,147,686,123,85,71,74,117,13,1
SE_1814,Lekeberg,5557,2415,65,0,309,292,253,200,587,136,192,98,159,110,13,1
SE_1885,Lindesberg,17869,7565,145,0,938,617,700,313,2360,415,638,313,506,540,74,6
SE_1864,Ljusnarsberg,4102,1527,33,0,176,90,120,33,489,162,90,68,123,105,38,0
SE_1884,Nora,8064,3578,87,0,521,158,411,169,1080,214,324,158,166,205,84,1
