gisco_id,name,registered,turnout,invalid,blank,N-VA,open vld,CD&V,SP.A,VLAAMS BELANG,GROEN,PVDA+,PS,MR,CDH,Parti Populaire,ECOLO,PTB-GO!,DEBOUT LES BELGES,FDF,LA DROITE,VEGA,MG,Stand Up USE,CSP,PRO DG,SP,VIVANT,PFF,VB
BE_37015,Tielt (Tielt),0,14554,900,0,2886,2614,4092,1799,781,1209,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24135,Tielt-Winge,0,7839,423,0,1872,1867,1564,857,472,638,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24107,Tienen / Tirlemont,0,23535,1594,0,5226,5350,3446,3653,1678,2085,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_61081,Tinlot,0,1766,94,0,0,0,0,0,0,0,0,446,543,166,101,215,80,19,49,24,25,1,3,0,0,0,0,0,0
BE_85039,Tintigny,0,2778,415,0,0,0,0,0,0,0,0,514,754,518,129,279,42,52,31,28,7,6,3,0,0,0,0,0,0
BE_73083,Tongeren / Tongres,0,22321,1687,0,4400,4685,4246,3954,1551,1445,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_31033,Torhout,0,15092,1015,0,2995,2466,4024,2210,784,1367,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_57081,Tournai / Doornik,0,43651,4632,0,0,0,0,0,0,0,0,12525,11562,3812,1521,5027,1463,1182,728,805,169,160,65,0,0,0,0,0,0
BE_24109,Tremelo,0,10607,515,0,2915,2520,1770,1139,711,856,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_63086,Trois-Ponts,0,1675,128,0,0,0,0,0,0,0,0,354,499,235,133,195,50,27,23,23,3,1,4,0,0,0,0,0,0
BE_62122,Trooz,0,5314,296,0,0,0,0,0,0,0,0,1447,1331,394,457,619,374,111,108,106,45,13,13,0,0,0,0,0,0
