gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,PP,SPI,ÖVR
SE_1980,Västerås,103326,88053,45,912,26482,3714,7711,4426,28436,4191,5597,5115,191,645,451,137
SE_1440,Ale,20162,17140,3,239,4768,839,1094,976,5577,1028,1012,1367,85,139,0,13
SE_1489,Alingsås,29086,25379,4,285,7000,1551,2506,2194,6454,1546,2382,1191,60,159,0,47
SE_1460,Bengtsfors,7586,6106,2,99,1389,652,314,351,2310,309,294,339,18,23,0,6
SE_1443,Bollebygd,6315,5532,3,61,1812,395,355,358,1453,255,335,448,10,36,1,10
SE_1490,Borås,77883,65915,22,700,18978,3091,5018,4014,20800,3644,4216,4616,126,430,210,50
SE_1438,Dals-Ed,3526,2861,0,48,765,445,129,260,800,109,104,172,8,15,0,6
SE_1445,Essunga,4373,3743,3,54,1158,464,186,236,1081,142,154,228,5,32,0,0
SE_1499,Falköping,24339,20617,5,245,5669,1892,1055,1595,6356,949,1079,1580,49,117,5,21
SE_1439,Färgelanda,5142,4300,5,78,1032,628,206,220,1438,173,127,361,8,13,0,11
SE_1444,Grästorp,4503,3894,1,59,1210,541,199,161,1170,135,138,240,8,17,1,14
SE_1447,Gullspång,4191,3551,1,53,794,262,170,187,1536,177,128,217,7,18,0,1
SE_1480,Göteborg,389821,322458,112,3044,96981,12183,26829,19484,80543,27246,34205,15608,2761,2628,12,822
SE_1471,Götene,10153,8821,2,125,2214,760,538,709,3003,423,553,415,18,49,0,12
SE_1466,Herrljunga,7219,6178,1,98,1503,792,440,549,1651,296,322,482,13,23,1,7
SE_1497,Hjo,7006,6022,0,72,1716,434,448,501,1831,274,391,307,11,33,0,4
SE_1401,Härryda,24675,21729,2,236,7796,1286,2248,1376,4697,990,1631,1212,74,157,2,22
SE_1446,Karlsborg,5480,4723,1,96,1244,509,356,303,1556,155,201,270,4,28,0,0
SE_1482,Kungälv,31549,27843,13,328,9134,1817,2490,1965,7156,1217,1740,1707,100,159,1,16
SE_1441,Lerum,28154,25219,5,284,8758,1268,2505,1738,5565,1277,2194,1336,98,138,33,20
SE_1494,Lidköping,29961,26094,8,304,6792,1842,1734,1687,9095,1462,1651,1307,56,136,0,20
SE_1462,Lilla Edet,9541,7805,0,91,1723,503,460,295,2926,562,359,777,25,66,1,17
SE_1484,Lysekil,11657,9816,0,128,2482,409,973,454,3551,540,633,560,30,52,0,4
SE_1493,Mariestad,18803,15761,5,230,4363,821,864,884,5762,917,948,806,34,115,0,12
SE_1463,Mark,25742,22049,8,271,5326,2017,1643,1458,7394,1222,1245,1267,53,114,9,22
SE_1461,Mellerud,7141,5843,4,70,1526,765,354,372,1715,291,260,443,17,23,0,3
SE_1430,Munkedal,7893,6478,2,89,1663,753,339,448,2092,327,250,458,16,29,1,11
SE_1481,Mölndal,45556,39398,11,406,12807,1854,4008,2542,9667,2060,3326,2185,172,323,4,33
SE_1421,Orust,12344,10583,2,150,3532,920,870,661,2669,494,668,492,55,57,4,9
SE_1402,Partille,25730,22355,9,210,7495,892,2213,1562,5485,1137,1690,1291,100,161,91,19
SE_1495,Skara,14270,12177,4,135,3537,878,697,667,4140,552,763,677,40,70,0,17
SE_1496,Skövde,39683,33845,13,472,10105,2512,2428,2110,10342,1569,2106,1750,90,312,0,36
SE_1427,Sotenäs,7464,6340,1,70,2453,286,512,502,1707,235,272,261,15,21,1,4
SE_1415,Stenungsund,18202,15765,6,213,5609,924,1330,971,4014,646,1099,754,43,101,40,15
SE_1486,Strömstad,8410,6646,1,118,1910,711,561,342,1826,275,552,295,9,40,0,6
SE_1465,Svenljunga,7836,6540,0,113,1862,909,418,335,1883,200,247,510,14,24,13,12
SE_1435,Tanum,9754,8028,3,124,2579,1213,730,455,1737,271,494,344,30,37,0,11
SE_1472,Tibro,8160,6924,5,96,1597,496,493,681,2485,292,300,435,14,28,0,2
