gisco_id,name,registered,turnout,blank,invalid,A,B,C,D,F,K,M,O,V,Ø,Ind.
DK_363,Maribo,8667,7288,56,20,2503,424,470,70,405,96,21,945,2014,257,7
DK_365,Møn,9055,7694,71,19,1864,591,602,85,698,73,42,1075,2224,348,2
DK_367,Nakskov,11317,9051,72,30,3639,488,525,66,934,56,23,1473,1558,187,0
DK_369,Nykøbing Falster,19814,16397,127,69,5559,1238,1557,193,1097,177,29,2176,3757,416,2
DK_371,Nysted,4214,3640,29,7,1006,244,286,38,188,31,12,609,1099,90,1
DK_373,Næstved,36990,30833,172,82,9466,2198,4028,297,1710,328,54,4170,7529,792,7
DK_375,Nørre Alslev,7371,6230,48,27,1826,401,436,66,308,53,17,1006,1884,156,2
DK_377,Præstø,5763,4939,21,20,1269,375,458,39,334,25,22,661,1545,169,1
DK_379,Ravnsborg,4380,3578,28,21,1086,202,233,37,213,22,15,659,934,126,2
DK_381,Rudbjerg,2694,2262,12,4,734,102,157,18,113,12,7,430,619,54,0
DK_383,Rødby,5053,4068,32,16,1277,180,209,31,277,25,14,620,1281,103,3
DK_385,Rønnede,5377,4637,35,21,950,281,501,74,207,29,5,773,1668,92,1
DK_387,Sakskøbing,7232,5888,44,16,1931,338,452,44,281,36,18,910,1699,115,4
DK_389,Stevns,8731,7492,51,24,1669,525,785,92,403,47,16,1256,2380,244,0
DK_391,Stubbekøbing,5230,4449,27,7,1371,294,322,52,260,45,16,703,1200,151,1
DK_393,Suså,6299,5505,36,9,1531,302,508,79,272,56,16,777,1758,161,0
DK_395,Sydfalster,5503,4826,25,11,1275,284,549,53,237,40,7,847,1400,97,1
DK_397,Vordingborg,15851,13375,89,35,3733,1022,1422,144,914,110,49,1939,3507,411,0
DK_400,Bornholm,33267,27730,162,70,9102,1132,795,179,1109,1094,64,2717,9582,1198,526
DK_411,Christiansø,73,70,2,0,14,10,2,1,2,2,0,4,22,11,0
DK_421,Assens,8222,6894,68,16,2184,458,890,62,293,60,8,971,1731,153,0
DK_423,Bogense,4874,4102,22,5,1175,243,622,30,178,30,10,624,1099,64,0
DK_425,Broby,4733,4103,42,7,933,262,451,39,191,20,6,533,1517,102,0
