gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΕΥΡΩΠΑΪΚΟ ΚΟΜΜΑ (ΕΥΡΩ.ΚΟ),ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΚΙΝΗΜΑ ΕΛΕΥΘΕΡΟΙ ΠΟΛΙΤΕΣ,ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,ΕΝΩΜΕΝΟΙ ΔΗΜΟΚΡΑΤΕΣ (Ε.ΔΗ),ΕΥΡΩΠΑΪΚΗ ΔΗΜΟΚΡΑΤΙΑ,ΠΟΛΙΤΙΚΟ ΚΙΝΗΜΑ ΚΥΝΗΓΩΝ,ΛΑΪΚΟ ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΙΝΗΜΑ,ΚΩΣΤΑ ΧΡΙΣΤΑΚΗΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΑΝΔΡΕΑΣ,ΜΙΧΑΗΛ ΑΝΑΣΤΑΣΗΣ,ΚΥΡΙΑΚΟΥ (ΟΥΤΟΠΟΣ) ΚΩΣΤΑΣ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΜΑΡΙΟΣ
CY_4121,Alaminos,211,201,7,5,102,22,38,5,15,0,1,5,1,0,0,0,0,0,0,0,0
CY_4122,Αναφωτίδα,472,416,8,8,242,86,44,14,8,2,0,1,1,1,1,0,0,0,0,0,0
CY_4124,Κιβισίλι,170,165,3,2,87,24,17,8,13,7,3,0,1,0,0,0,0,0,0,0,0
CY_4125,Alethriko,568,502,22,13,168,180,61,19,24,2,7,2,1,0,1,0,0,1,0,0,1
CY_4126,Κλαυδιά,469,417,9,5,222,54,62,16,31,2,9,4,0,2,0,0,0,0,0,0,1
CY_4127,Αγγλισίδες,729,664,16,23,270,165,75,38,54,11,4,2,1,3,2,0,0,0,0,0,0
CY_4128,Menogeia,45,48,4,0,12,22,6,0,2,0,0,1,0,0,1,0,0,0,0,0,0
CY_4202,Athienou,3368,3030,59,65,940,867,413,147,327,42,134,19,3,6,6,0,0,2,0,0,0
CY_4210,Καλό Χωριό Λάρνακας,1182,1088,50,35,316,397,115,29,105,2,22,11,2,0,4,0,0,0,0,0,0
CY_4211,Agia Anna,114,112,2,4,24,43,2,2,30,2,1,0,1,1,0,0,0,0,0,0,0
CY_4212,Μοσφιλωτή,814,752,30,20,258,282,51,17,58,13,9,3,8,0,3,0,0,0,0,0,0
CY_4213,Ψευδάς,896,860,26,17,215,423,47,6,112,6,4,1,0,3,0,0,0,0,0,0,0
CY_4214,Πυργά (τα) Λάρνακας,406,382,7,9,82,182,51,13,29,1,4,3,0,1,0,0,0,0,0,0,0
CY_4215,Kornos,1342,1231,36,34,307,504,61,32,233,4,4,7,3,2,3,0,0,1,0,0,0
CY_4300,Ζύγι,681,625,16,15,135,163,111,117,51,2,6,2,2,2,0,0,1,2,0,0,0
