gisco_id,name,registered,turnout,invalid,blank,PSD-PC,PDL,PNL,UDMR/RMDSZ,PRM,PDL,PNȚCD,Pavel,FC
RO_013891,Albestii De Muscel,1489,692,14,0,65,0,385,145,6,2,59,14,2
RO_013935,Albota,3073,1048,26,0,100,2,80,711,9,4,86,24,6
RO_013999,Aninoasa,2659,905,27,0,166,1,183,379,10,2,98,33,6
RO_014049,Arefu,2156,581,18,0,67,0,179,218,5,1,69,17,7
RO_014085,Babana,2340,939,36,0,300,1,105,380,11,0,71,28,7
RO_014165,Baiculesti,5037,1704,53,0,202,1,434,652,8,3,277,62,12
RO_014272,Balilesti,3530,1182,31,0,147,1,263,574,8,6,111,29,12
RO_014352,Beleti-Negresti,1564,365,9,0,39,0,44,187,6,1,60,15,4
RO_014405,Berevoesti,2737,829,37,0,138,2,199,328,3,1,80,31,10
RO_014450,Barla,4320,846,32,0,61,3,239,288,13,2,144,58,6
RO_014584,Bogati,3961,1391,25,0,81,2,494,539,6,6,170,61,7
RO_014673,Boteni,2178,1053,31,0,167,0,282,490,2,3,53,17,8
RO_014726,Botesti,1027,713,27,0,109,0,105,401,18,1,32,18,2
RO_014753,Bradulet,1663,834,37,0,105,2,231,349,7,1,75,21,6
RO_014851,Budeasa,3175,676,23,0,82,1,196,243,5,2,93,23,8
RO_014922,Bughea De Jos,2390,519,20,0,122,1,103,145,3,2,87,32,4
RO_014940,Buzoesti,4913,1542,48,0,97,6,239,726,30,7,321,55,13
RO_015064,Caldararu,2222,897,25,0,171,3,302,266,14,1,79,30,6
RO_015108,Calinesti,8391,1771,64,0,383,6,302,534,13,8,380,71,10
RO_015233,Cateasca,2995,958,31,0,93,0,461,230,6,6,108,18,5
RO_015313,Cepari,1963,647,11,0,69,1,107,369,7,4,49,23,7
RO_015402,Cetateni,2418,819,33,0,98,1,343,255,11,1,47,14,16
RO_015448,Cicanesti,1833,717,5,0,58,0,54,549,3,2,34,8,4
RO_015493,Ciofrangeni,2139,1127,50,0,46,1,134,820,9,0,41,12,14
RO_015554,Ciomagesti,1002,452,9,0,41,1,63,277,5,2,38,12,4
RO_015652,Cocu,1985,493,14,0,42,2,168,206,10,0,35,13,3
RO_015741,Corbeni,4654,1002,47,0,83,1,283,407,9,4,111,45,12
RO_015830,Corbi,3459,1325,33,0,305,3,236,560,13,5,108,48,14
RO_015901,Cosesti,4447,1407,52,0,86,0,392,580,19,7,211,40,20
RO_015983,Cotmeana,1713,993,12,0,170,1,165,602,0,1,36,6,0
RO_016132,Cuca,1806,897,32,0,57,1,140,541,8,4,76,24,14
RO_016285,Davidesti,2294,931,28,0,30,2,150,612,4,2,80,20,3
RO_016329,Dambovicioara,857,824,19,0,80,2,254,377,3,1,64,16,8
RO_016365,Darmanesti,3014,803,18,0,49,2,166,453,7,0,82,22,4
RO_016427,Dobresti,1483,565,6,0,257,0,98,100,12,1,72,18,1
RO_016454,Domnesti,2714,1239,22,0,226,0,218,641,8,2,90,20,12
RO_016472,Dragoslavele,2057,944,19,0,51,1,176,591,4,3,69,25,5
RO_016506,Draganu,1583,426,7,0,69,0,134,153,7,0,40,10,6
RO_016551,Godeni,2695,959,38,0,131,1,168,481,13,1,83,34,9
RO_016613,Harsesti,2155,770,43,0,50,1,308,229,42,0,71,11,15
RO_016659,Hartiesti,1652,880,34,0,40,0,78,668,1,3,35,16,5
RO_016739,Izvoru,2043,422,21,0,34,0,66,225,0,2,70,1,3
RO_016757,Leordeni,4941,1768,95,0,254,2,210,921,11,4,196,56,19
RO_016908,Leresti,4131,1158,47,0,235,6,187,440,10,4,167,47,15
RO_016944,Lunca Corbului,2492,1229,34,0,113,1,539,376,11,2,134,13,6
RO_017049,Malureni,3528,1472,48,0,150,4,236,882,11,6,90,25,20
RO_017101,Merisani,3395,980,37,0,113,1,255,416,14,1,107,26,10
RO_017209,Micesti,3326,1305,64,0,129,1,295,685,2,4,85,32,8
RO_017254,Mihaesti,4724,1366,46,0,193,1,297,642,10,0,113,54,10
RO_017334,Mioarele,1415,641,7,0,37,1,114,369,5,3,69,26,10
RO_017398,Mirosi,2291,520,25,0,31,1,223,171,3,2,41,16,7
RO_017423,Moraresti,1667,911,37,0,67,0,260,488,2,1,37,16,3
RO_017496,Mosoaia,3869,748,16,0,49,2,182,346,6,2,114,24,7
RO_017575,Mozaceni,1974,653,27,0,104,1,151,288,1,1,62,16,2
RO_017619,Musatesti,3299,935,23,0,96,0,340,350,4,1,77,33,11
RO_017726,Negrasi,1994,851,27,0,75,1,196,471,3,0,58,15,5
RO_017771,Nucsoara,1305,887,30,0,46,3,294,408,1,2,74,25,4
RO_017824,Oarja,2206,641,14,0,42,0,314,152,7,2,81,25,4
RO_017851,Pietrosani,4812,1644,43,0,131,0,500,727,5,1,190,38,9
RO_017913,Poienarii De Arges,918,357,14,0,73,1,57,183,2,2,17,6,2
RO_017968,Poienarii De Muscel,2978,984,42,0,95,0,352,337,7,4,82,56,9
RO_018028,Poiana Lacului,5283,1078,39,0,157,2,421,212,15,3,191,30,8
RO_018162,Popeşti,1973,1431,14,0,70,4,320,880,6,7,89,34,7
RO_018242,Priboieni,2988,1407,28,0,193,0,186,876,11,2,83,17,11
RO_018331,Ratesti,2562,1058,27,0,129,1,186,568,9,2,95,35,6
RO_018411,Recea,2543,1695,79,0,96,1,443,838,4,0,207,25,2
RO_018475,Rociu,2361,1318,24,0,118,0,100,968,2,4,73,20,9
RO_018527,Rucar,5205,1924,42,0,207,1,511,891,13,0,183,54,22
RO_018554,Salatrucu,1841,758,37,0,44,1,98,485,13,2,57,11,10
RO_018581,Sapata,1518,741,20,0,26,2,170,423,4,2,71,14,9
RO_018670,Schitu Golesti,3980,752,33,0,140,2,169,257,12,1,105,25,8
RO_018741,Slobozia,4078,1135,64,0,63,0,328,580,4,4,51,27,14
RO_018778,Stalpeni,4222,1426,33,0,164,3,225,796,6,1,139,44,15
RO_018858,Stoenesti,3703,1204,28,0,99,2,170,751,20,1,86,40,7
RO_018938,Stolnici,2871,678,22,0,125,2,185,253,14,1,57,13,6
