gisco_id,name,registered,turnout,invalid,blank,VB (1979),N-VA,Vooruit,CD&V,Open VLD,PTB/PVDA,Groen,Voor U,Volt,PS,MR,LE,Ecolo,GA/SAP,DéFI,CSP,VIVANT,ProDG
BE_56022,Erquelinnes,0,6431,786,0,0,0,0,0,0,948,0,0,0,1301,1756,1118,247,157,118,0,0,0
BE_62032,Esneux,0,9149,518,0,0,0,0,0,0,789,0,0,0,1323,3475,1245,1393,154,252,0,0,0
BE_34043,Spiere-Helkijn / Espierres-Helchin,0,1451,170,0,213,250,178,157,203,130,94,40,16,0,0,0,0,0,0,0,0,0
BE_11016,Essen,0,11696,432,0,2990,2918,1334,1714,483,569,1094,60,102,0,0,0,0,0,0,0,0,0
BE_57027,Estaimpuis,0,5614,702,0,0,0,0,0,0,600,0,0,0,1280,1682,735,418,106,91,0,0,0
BE_58003,Estinnes,0,5578,447,0,0,0,0,0,0,626,0,0,0,1236,1924,912,239,91,103,0,0,0
BE_85009,Étalle,0,3807,390,0,0,0,0,0,0,238,0,0,0,468,1527,672,379,65,68,0,0,0
BE_21005,Etterbeek,0,19204,1006,0,306,319,203,200,365,2596,656,30,221,2232,5048,1490,3642,219,671,0,0,0
BE_63023,Eupen,0,12226,726,0,0,0,1677,0,0,0,0,0,0,0,1602,0,1755,0,0,3256,1017,2193
BE_K00057,Electoral Canton Eupen,29816,214,12,0,0,0,17,0,0,0,0,0,0,0,31,0,55,0,0,63,3,33
BE_21006,Evere,0,20280,1599,0,547,434,195,180,260,3913,225,22,96,4523,4489,1407,1468,143,779,0,0,0
BE_44019,Evergem,0,26631,1053,0,6632,5728,3364,3540,1901,1913,2117,243,140,0,0,0,0,0,0,0,0,0
BE_64076,Faimes,0,3033,180,0,0,0,0,0,0,237,0,0,0,547,1320,407,218,47,77,0,0,0
BE_52018,Farciennes,0,5938,606,0,0,0,0,0,0,871,0,0,0,1460,1663,795,265,134,144,0,0,0
BE_82009,Fauvillers,0,1696,144,0,0,0,0,0,0,96,0,0,0,140,723,376,144,42,31,0,0,0
BE_92138,Fernelmont,0,5971,359,0,0,0,0,0,0,467,0,0,0,646,2319,1274,639,119,148,0,0,0
BE_61019,Ferrières,0,3723,209,0,0,0,0,0,0,347,0,0,0,433,1490,684,378,94,88,0,0,0
BE_64025,Fexhe-le-Haut-Clocher,0,2359,171,0,0,0,0,0,0,226,0,0,0,410,944,345,142,46,75,0,0,0
BE_62120,Flémalle,0,17058,1568,0,0,0,0,0,0,3189,0,0,0,4490,4038,1962,903,460,448,0,0,0
BE_62038,Fléron,0,10831,852,0,0,0,0,0,0,1603,0,0,0,2141,3432,1726,668,184,225,0,0,0
BE_52021,Fleurus,0,14787,1476,0,0,0,0,0,0,2158,0,0,0,3913,3988,1861,676,352,363,0,0,0
BE_51019,Flobecq / Vloesberg,0,2441,211,0,0,0,0,0,0,255,0,0,0,428,963,272,223,55,34,0,0,0
BE_92045,Floreffe,0,5735,407,0,0,0,0,0,0,562,0,0,0,772,1855,1105,765,114,155,0,0,0
